Mode,Matrix,Threads,Schedule,ChunkSize,L1_MissRate,LLC_MissRate
parallel,circuit5M.mtx,16,static,1024,0.8417398830229126,82.94384956436454
parallel,circuit5M.mtx,16,dynamic,1024,0.8452053917172554,83.23866946742035
parallel,circuit5M.mtx,16,guided,4,0.8385842783116757,82.57738907528068
parallel,circuit5M.mtx,32,static,1024,0.8395382620371977,82.7870156753371
parallel,circuit5M.mtx,32,dynamic,1024,0.8433545762889509,82.71612519574856
parallel,circuit5M.mtx,32,guided,4,0.8408393397941958,83.32201032902124
parallel,circuit5M.mtx,64,static,1024,0.8440757019015104,83.13094254885327
parallel,circuit5M.mtx,64,dynamic,1024,0.8385219572562762,82.82526552933956
parallel,circuit5M.mtx,64,guided,4,0.8392594663762009,82.68059289291052
parallel,memchip.mtx,2,static,1024,0.7253198477785272,73.92125001787537
parallel,memchip.mtx,2,dynamic,1024,0.7326844344730252,73.85704171996453
parallel,memchip.mtx,2,guided,4,0.7384798266075788,74.76095921305014
parallel,memchip.mtx,4,static,1024,0.7342910042776457,75.25100401606426
parallel,memchip.mtx,4,dynamic,1024,0.7396738636614896,74.60668429058622
parallel,memchip.mtx,4,guided,4,0.7304921476761667,74.23553148203888
parallel,memchip.mtx,8,static,1024,0.7322601337291205,75.15858444295934
parallel,memchip.mtx,8,dynamic,1024,0.733684300143606,74.98123952455371
parallel,memchip.mtx,8,guided,4,0.7328838366056234,74.16822993266031
parallel,memchip.mtx,16,static,1024,0.7340421220316163,75.05606447857338
parallel,memchip.mtx,16,dynamic,1024,0.7361703796194036,74.56804204257445
parallel,memchip.mtx,16,guided,4,0.7275516218237075,74.90891047433608
parallel,memchip.mtx,32,static,1024,0.7280816214770839,74.46889811912266
parallel,memchip.mtx,32,dynamic,1024,0.7308709507746373,74.48744669774405
parallel,memchip.mtx,32,guided,4,0.736022546258081,74.34506018623374
parallel,memchip.mtx,64,static,1024,0.7248902892269117,74.88493971846243
parallel,memchip.mtx,64,dynamic,1024,0.7324328025019614,74.76533119560465
parallel,memchip.mtx,64,guided,4,0.7290668831161871,74.5297001043339
parallel,poisson3Db.mtx,2,static,64,0.6943645182303211,47.95309650555346
parallel,poisson3Db.mtx,2,dynamic,1024,0.6918051258747682,48.97320694455527
parallel,poisson3Db.mtx,2,guided,64,0.6925826690971019,49.533657260288436
parallel,poisson3Db.mtx,4,static,64,0.6964080719467661,50.542346716412446
parallel,poisson3Db.mtx,4,dynamic,1024,0.6883722264159677,52.20829017875415
parallel,poisson3Db.mtx,4,guided,64,0.6864245836846098,53.488053934720725
parallel,poisson3Db.mtx,8,static,64,0.6929153388498863,47.19478332147494
parallel,poisson3Db.mtx,8,dynamic,1024,0.6934644040264537,48.33353146000381
parallel,poisson3Db.mtx,8,guided,64,0.6914308317635567,49.77253922855983
parallel,poisson3Db.mtx,16,static,64,0.6958411263771611,40.41616574641317
parallel,poisson3Db.mtx,16,dynamic,1024,0.6885313423257764,44.06119368423599
parallel,poisson3Db.mtx,16,guided,64,0.6937000518750023,42.74931772536586
parallel,poisson3Db.mtx,32,static,64,0.6934515757887288,34.3657204824712
parallel,poisson3Db.mtx,32,dynamic,1024,0.6936297017721604,36.31571856339933
parallel,poisson3Db.mtx,32,guided,64,0.6899158686846352,38.49456883572243
parallel,poisson3Db.mtx,64,static,64,0.6859833561120091,29.351151638598743
parallel,poisson3Db.mtx,64,dynamic,1024,0.6888665818806444,32.81591462647038
parallel,poisson3Db.mtx,64,guided,64,0.6750469425398302,36.054059931146085
parallel,rajat29.mtx,2,static,1024,0.7596055090210883,81.70308528689667
parallel,rajat29.mtx,2,dynamic,1024,0.7630972484967252,81.21211912419018
parallel,rajat29.mtx,2,guided,256,0.7579845433697818,81.57863101307393
parallel,rajat29.mtx,4,static,1024,0.761538993357899,82.56334648242667
parallel,rajat29.mtx,4,dynamic,1024,0.7624113458055466,82.07835763654064
parallel,rajat29.mtx,4,guided,256,0.7579705829438529,81.84712077205683
parallel,rajat29.mtx,8,static,1024,0.7589366764446197,82.02669350990726
parallel,rajat29.mtx,8,dynamic,1024,0.7610137877303111,82.04036264478567
parallel,rajat29.mtx,8,guided,256,0.7540249576489892,81.7303775352019
parallel,rajat29.mtx,16,static,1024,0.7615269691704935,81.95841537348059
parallel,rajat29.mtx,16,dynamic,1024,0.7640322948844216,81.914264922532
parallel,rajat29.mtx,16,guided,256,0.7634981834842745,81.98304824820181
parallel,rajat29.mtx,32,static,1024,0.7549050054636831,81.34377738653062
parallel,rajat29.mtx,32,dynamic,1024,0.7554989401508795,81.32963697246652
parallel,rajat29.mtx,32,guided,256,0.7586552712374599,81.76378213241509
parallel,rajat29.mtx,64,static,1024,0.749356244173924,80.75172972125795
parallel,rajat29.mtx,64,dynamic,1024,0.7555019094209621,81.26256930973557
parallel,rajat29.mtx,64,guided,256,0.7522930255645056,80.87043632183354
