Matrix,Schedule,Threads,ChunkSize,p90_Time_ms,p90_GFLOPs,Speedup,Efficiency
atmosmodd.mtx,static,16,256,8.656776999999998,2.7868820000000003,2.645762966979513,16.536018543621957
atmosmodd.mtx,static,16,1024,7.5957349999999995,3.4153100000000003,3.015347428524034,18.84592142827521
atmosmodd.mtx,dynamic,16,1,128.8141,0.148424,0.17780491421358377,1.1112807138348986
atmosmodd.mtx,dynamic,16,4,36.017,0.5513096,0.6359158175306105,3.974473859566316
atmosmodd.mtx,dynamic,16,16,15.623619999999999,1.327869,1.4659713945935706,9.162321216209817
atmosmodd.mtx,dynamic,16,64,11.4124,1.939866,2.0069205425677334,12.543253391048333
atmosmodd.mtx,dynamic,16,256,9.146188,2.3902229999999998,2.5041886302796312,15.651178939247695
atmosmodd.mtx,dynamic,16,1024,10.003886999999999,2.3925810000000003,2.289488075984865,14.309300474905406
atmosmodd.mtx,guided,16,1,8.772745,2.841804,2.6107882994433327,16.31742687152083
atmosmodd.mtx,guided,16,4,10.053379999999999,2.7612319999999997,2.2782168783036156,14.238855489397597
atmosmodd.mtx,guided,16,16,8.905479,2.8448339999999996,2.5718751343975996,16.074219589985
atmosmodd.mtx,guided,16,64,9.962774,2.815023,2.298936019225168,14.3683501201573
atmosmodd.mtx,guided,16,256,8.781535,2.888963,2.6081749944628134,16.301093715392582
atmosmodd.mtx,guided,16,1024,9.568781999999999,2.685544,2.3935940854332354,14.95996303395772
atmosmodd.mtx,static,32,1,22.96511,0.8538411,0.9973294271179194,3.116654459743498
atmosmodd.mtx,static,32,4,14.26628,1.3913900000000001,1.6054486523466525,5.017027038583289
atmosmodd.mtx,static,32,16,12.402669999999999,1.672703,1.8466814000533758,5.7708793751668
atmosmodd.mtx,static,32,64,11.308889999999998,1.955252,2.025289838348415,6.329030744838797
atmosmodd.mtx,static,32,256,9.263360999999998,2.964578,2.472512946434885,7.726602957609016
atmosmodd.mtx,static,32,1024,11.522939999999997,3.160783,1.9876680777648768,6.21146274301524
atmosmodd.mtx,dynamic,32,1,97.81214999999999,0.1911804,0.23416088901020993,0.731752778156906
atmosmodd.mtx,dynamic,32,4,28.530179999999998,0.6864097,0.8027912897850628,2.508722780578321
atmosmodd.mtx,dynamic,32,16,11.81931,1.680038,1.9378271658836261,6.055709893386331
atmosmodd.mtx,dynamic,32,64,11.077549999999999,2.038725,2.0675853415240737,6.461204192262731
atmosmodd.mtx,dynamic,32,256,33.503139999999995,2.221708,0.6836308477354661,2.136346399173332
atmosmodd.mtx,dynamic,32,1024,30.820619999999998,2.232226,0.7431317085769203,2.322286589302876
atmosmodd.mtx,guided,32,1,54.14975,1.675897,0.42297111251667835,1.3217847266146199
